istex_id	corpus	pub_year	pub_period	pdfver	pdfwc	bibnat	author_1	lang	doctype_1	cat_sci	title
2AC062B9EE8C6EC4FCCF0FC1DC683368E002BC44	els	1989	[1990 TO 1999]	1.2	3489	True	Radwan	unknown	UNKOWN_GENRE	PHYSICS, CONDENSED MATTER/MATERIALS SCIENCE/MATERIALS SCIENCE, MULTIDISCIPLINARY	Magnetohydrodynamic stability of a compound liquid jet
06B6CE8DF7F89C265F7792A0DFD9586A45BD7278	wil	1971	[1960 TO 1979]	1.3	876	True	Berté	eng	Serial article	UNKOWN_SCI_CAT	Distribution of ampicillin administered orally in three different forms in rabbit
CB2C5260EA06388EA8F36665C1AE00BFFD5C5AE8	wil	1986	[1980 TO 1989]	1.4	2172	True	Killick	eng	Serial article	UNKOWN_SCI_CAT	Appendix A by David J. Killick
33359F2CE3B663C774F2C5931AD5B7353C4336C3	oup	1872	[* TO 1959]	1.2	784	False	COLLETT	unknown	other	LITERATURE	“THE JUDGMENT OF SOLOMON”
AFD7ACBCF05BD3929CA64D3DB8983EB92FFDAA25	wil	1974	[1960 TO 1979]	1.3	2449	True	Lichter	eng	Serial article	UNKOWN_SCI_CAT	Nitrogen‐15 magnetic resonance spectroscopy XVI—natural‐abundance spectra of aromatic amines
C3EC27FEFF339DB62885F394311F4F7304CE08DA	els	1994	[1990 TO 1999]	1.4	3845	True	Estrup	unknown	UNKOWN_GENRE	PHYSICS, CONDENSED MATTER/CHEMISTRY, PHYSICAL	Surface phases of reconstructed tungsten (100) and molybdenum (100)
FCD5134DB0B8360D68FC3D5D8474D5B96453E21A	oup	1988	[1980 TO 1989]	1.4	3501	False	Miller	unknown	research-article	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH/TOXICOLOGY/TRANSPLANTATION	Influence of Breathing Mode and Activity Level on the Regional Deposition of Inhaled Particles and Implications for Regulatory Standards
7FD49C64DDDE882B3334BA199EC7285B0772B4B5	wil	2003	[2000 TO *]	1.3	1506	True	M.D.	eng	Serial article	UNKOWN_SCI_CAT	Early Experience with Cardiopulmonary Bypass: Reflections
8D76C616003D8439CBA64D0D1D4DBE49DD53F5F4	wil	2007	[2000 TO *]	1.3	8803	True	LOTAN‐POMPAN	eng	Serial article	UNKOWN_SCI_CAT	Trifluralin herbicide‐induced resistance of melon to fusarium wilt involves expression of stress‐ and defence‐related genes
67EEC499AE47E916B268CB45A866AAC06602EA1F	wil	1991	[1990 TO 1999]	1.3	920	True	PHD	eng	Serial article	UNKOWN_SCI_CAT	The CUE debate (continued): on surrogate tests and surrogate endpoints
0217076D3221547FE8AA6B55176A55561373ED49	els	2001	[2000 TO *]	1.2	2697	True	Lee	unknown	UNKOWN_GENRE	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	Detecting duplicates among symbolically compressed images in a large document database
A8DA21B12709A4A7A04D2C6567BFD82B23A9E5E2	els	1969	[1960 TO 1979]	1.2	1521	True	Tryfiates	unknown	UNKOWN_GENRE	BIOCHEMISTRY & MOLECULAR BIOLOGY	On the synthesis of tyrosine transaminase in vitro
4E679764A94FF1A7A5B1FF312BBDB27DFC782AF9	wil	2000	[2000 TO *]	1.4	169	True	Yao	eng	Serial article	UNKOWN_SCI_CAT	ChemInform Abstract: Chiral CO2‐Synthons via Catalytic Asymmetric Hetero‐Diels—Alder Reactions of Ketomalonate and Dienes.
9F2E02B59E6B456D1EAE21D989C3897479AAF7BD	wil	1999	[2000 TO *]	1.2	2808	True	Melchart	eng	Serial article	UNKOWN_SCI_CAT	Use of traditional drugs in a hospital of Chinese medicine in Germany
1753809B2CB9B715E0691C5CFAB9D0D68B0E6482	nat	1972	[1960 TO 1979]	1.4	9	True	STECKER	unknown	letter	PHYSICS	-Ray Absorption for a Beam Model of NP0532
558771A7D1CB3B33AAEE732F88EDF6A3F11FF9BE	wil	2011	[2000 TO *]	1.4	246	True	Péroux	eng	Serial article	UNKOWN_SCI_CAT	Erratum: A SINFONI integral field spectroscopy survey for galaxy counterparts to damped Lyman  systems – I. New detections and limits for intervening and associated absorbers
FEEFB1D13962DE36E28E42B0F593F251308ECCD6	els	1976	[1960 TO 1979]	1.2	3370	True	Gefen	unknown	UNKOWN_GENRE	PHYSICS, CONDENSED MATTER/CHEMISTRY/CHEMISTRY, MULTIDISCIPLINARY	The ultrasonic equation of state in the vicinity of the martensitic transformation in Au-47.5 at.% Cd
F8C96A942736D242616E5EAC0AEB778CFCCCD087	els	1981	[1980 TO 1989]	1.2	844	False	UNKNOWN	unknown	UNKOWN_GENRE	ENGINEERING, AEROSPACE/ASTRONOMY & ASTROPHYSICS	President to ask for funds to start Venus Project
BA20880C738143E6D4C70A35DA20540D6EAADE84	wil	2000	[2000 TO *]	1.6	2303	True	Pharm.D.	eng	Serial article	UNKOWN_SCI_CAT	The Role of Pharmacists in the Detection, Management, and Control of Hypertension: A National Call To Action
5CB293099F8F1465EEEFC74FF0A9783A4C4EC3CA	els	1999	[2000 TO *]	1.7	683	False	PhD	unknown	UNKOWN_GENRE	MEDICINE, GENERAL & INTERNAL	Mary BreckinridgePioneer Nurse Brings Modern Nursing to Rural Environment
7756BEE38E84CBD01BFD30A22E30952DE203EE23	els	1923	[* TO 1959]	1.2	356	False	Taylor	unknown	UNKOWN_GENRE	AUTOMATION & CONTROL SYSTEMS/ENGINEERING/ENGINEERING, ELECTRICAL & ELECTRONIC/ENGINEERING, MECHANICAL/ENGINEERING, MULTIDISCIPLINARY/ROBOTICS/MATHEMATICS, APPLIED/MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	Preparation and detonating properties of cyanuric triazide
1D5AD2D9981FFE4EDAC2B907C7CC1C51CD5A5AA9	nat	1971	[1960 TO 1979]	1.4	9	True	EDWARDS	unknown	letter	PHYSICS	Galactic X-Rays from Unresolved Flare Stars
3DD9CE3E64653C8852FA6A0E4323A617203096E9	els	1967	[1960 TO 1979]	1.2	3270	True	Horak	unknown	UNKOWN_GENRE	CHEMISTRY, ANALYTICAL/SPECTROSCOPY	Molecular conformation and vibrational spectra of p-halogeno derivatives of anisole
