0001-1541	aiche j
0007-117X	br j oral surg
0007-1226	br j plast surg
0007-1242	br j prev soc med
0007-1269	br j psychol
0007-1293	br j soc clin psychol
0007-1315	brit j sociol
0007-1323	br j surg
0007-134X	br j vener dis
0007-1420	br med bull
0007-1447	br med j
0007-1536	trans br mycol soc
0007-1641	br polym j
0007-1935	br vet j
0007-196X	brittonia
0007-3628	build sci
0007-4497	bull sci math
0007-4632	bull géod
0007-4861	bull environ contam toxicol
0007-4888	bull exp biol med
0007-4985	bull math biophys
0007-6813	bus horiz
0007-7704	byz z
0007-8506	cirp ann
0008-0594	calcif tissue res
0008-0624	calcolo
0008-1264	calif med
0008-199X	camb q
0008-3658	can geogr
0008-4034	can j chem eng
0008-4433	can metall q
0008-4840	can public adm
0008-6215	carbohydr res
0008-6223	carbon
0008-6363	cardiovasc res
0008-8714	celest mech
0008-8749	cell immunol
0008-8846	cem concr res
0008-8994	centaurus
0009-0700	cesk cas fyz
0009-2355	chem pet eng
0009-2509	chem eng sci
0009-2541	chem geol
0009-2614	chem phys lett
0009-2797	chem biol interact
0009-2851	chem unserer zeit
0009-286X	chemieingenieurtechnik
0009-2940	chem ber
0009-3068	chem ind
0009-3084	chem phys lipids
0009-3092	chem technol fuels oils
0009-3122	chem heterocycl compd
0009-3130	chem nat compd
0009-3262	chesapeake sci
0009-3920	child dev
0009-398X	child psychiatr hum dev
0009-4536	j chin chem soc
0009-5893	chromatographia
0009-5907	chromatogr rev
0009-5915	chromosoma
0009-725X	rend circ mat palermo
0009-739X	cir esp
0009-8981	clin chim acta
0009-9120	clin biochem
0009-9163	clin genet
0009-9260	clin radiol
0010-0277	cognition
0010-0285	cogn psychol
0010-2180	combust flame
0010-2571	comment math helv
0010-3616	commun math phys
0010-3640	commun pure appl math
0010-3853	community ment health j
0010-4035	comp gen pharmacol
0010-406X	comp biochem physiol
0010-4361	composites
0010-440X	compr psych
0010-4485	comput aided des
0010-4655	comput phys commun
0010-468X	comput programs biomed
0010-4809	comput biomed res
0010-4817	comput humanit
0010-4825	comput biol med
0010-485X	computing
0010-5082	combust explos shock waves
0010-7824	contraception
0010-7999	contrib mineral petrol
0010-8545	coord chem rev
0010-938X	corros sci
0010-9452	cortex
0011-1384	criminology
0011-1562	crit q
0011-1953	cross curr
0011-216x	crustaceana
0011-216X	crustaceana
0011-2240	cryobiology
0011-2275	cryogenics
0011-3840	curr probl surg
0011-393X	curr ther res
0011-4235	cybernetics
0011-4626	czech j phys
0011-5029	dis mon
0011-684X	data process
0011-7315	decis sci
0011-7471	deep sea res oceanogr abstr
0011-9059	int j dermatol
0011-9164	desalination
0012-0308	dtsch hydrogr z
0012-1037	z neurol
0012-1606	dev biol
0012-1630	dev psychobiol
0012-186X	diabetologia
0012-2017	dialectica
0012-365X	discrete math
0012-4486	doc ophthalmol
0012-6543	drug ther bull
0012-821X	earth planet sci lett
0012-8252	earth sci rev
0012-9593	ann sci ec norm supér
0012-9682	econometrica
0013-0001	econ bot
0013-0095	economic geography
0013-0427	economica
0013-063X	economist
0013-1954	educ stud math
0013-2004	educ theory
0013-4686	electrochim acta
0013-4694	electroencephalogr clin neurophysiol
0013-7480	energy convers
0013-7944	eng fract mech
0013-7952	eng geol
0013-8215	english
0013-8266	engl hist rev
0013-8703	entomol exp appl
0013-8959	entomophaga
0013-9327	environ pollut
0013-9351	environ res
0014-0856	essays crit
0014-2336	euphytica
0014-2565	rev clin esp
0014-2921	eur econ rev
0014-2964	eur j cancer
0014-2972	eur j clin invest
0014-2999	eur j pharmacol
0014-3057	eur polym j
0014-3065	potato res
0014-3820	evolution
0014-3855	evol psychiatr
0014-4754	experientia
0014-4800	exp mol pathol
0014-4819	exp brain res
0014-4827	exp cell res
0014-4835	exp eye res
0014-4851	exp mech
0014-4886	exp neurol
0014-4894	exp parasitol
0014-4908	exp pathol
0014-5793	febs lett
0014-6242	fabula
0014-7370	fam proc
0014-827X	farmaco
0014-8962	feddes repert
0014-9527	quærendo
0015-0282	fertil steril
0015-038X	fette seifen anstrichm
0015-0541	fibre chem
0015-0568	fibre sci technol
0015-1882	filtr sep
0015-2684	fire technol
0015-3796	biochem physiol pflanz
0015-4628	fluid dyn
0015-5551	folia geobot phytotaxon
0015-5632	folia microbiol
0015-573X	folia quat
0015-6264	food cosmet toxicol
0015-7368	j forensic sci soc
0015-752X	forestry
0015-7899	forsch ing wes
0015-8003	forstwiss centralbl
0015-8208	fortschr phys
0015-8518	forum mod lang stud
0015-9018	found phys
0016-0032	j franklin inst
0016-1128	fr stud
0016-1136	frequenz
0016-1152	fresenius z anal chem
0016-2361	fuel
0016-2663	funct anal appl
0016-5085	gastroenterology
0016-5107	gastrointest endosc
0016-6480	gen comp endocrinol
0016-6707	genetica
0016-6995	geobios
0016-7037	geochim cosmochim acta
0016-7061	geoderma
0016-7142	geoexploration
0016-7185	geoforum
0016-7398	geogr j
0016-7428	geogr rev
0016-7835	geol rundsch
0016-7878	proc geol assoc
0016-8009	geophys j r astron soc
0016-8025	geophys prospect
0016-8777	ger life lett
0016-9013	gerontologist
0017-467X	ground water
0017-5749	gut
0017-6559	haematologia
0017-8748	headache
0017-9124	health serv res
0017-9310	int j heat mass transfer
0017-9957	helgol wiss meeresunters
0018-019X	helv chim acta
0018-0661	hereditas
0018-1196	heythrop j
0018-1560	high educ
0018-2214	histochem j
0018-2222	histochemie
0018-2648	history
0018-2656	hist theory
0018-2680	hist educ q
0018-3768	holz roh werkst
0018-3830	holzforschung
0018-442X	homo
0018-4888	hoppe seyler z physiol chem
0018-506X	horm behav
0018-7348	humangenetik
0018-8158	hydrobiologia
0018-8220	hydrotech constr
0019-042X	iral int rev appl linguist lang teach
0019-0578	isa trans
0019-0993	ibero rom
0019-1019	ibis
0019-1035	icarus
0019-2791	immunochemistry
0019-3577	indagationes math
0019-5456	indian j pediatr
0019-7246	indo iran j
0019-8676	ind relat
0020-0190	inf process lett
0020-0255	inf sci
0020-0271	inf storage retr
0020-0891	infrared phys
0020-1154	ing arch
0020-1383	injury
0020-1650	inorg nucl chem lett
0020-1693	inorg chim acta
0020-1790	insect biochem
0020-1812	insectes soc
0020-2452	bull inst pasteur
0020-2754	trans inst br geogr
0020-3157	ann inst stat math
0020-4277	instr sci
0020-5877	int afr bibliogr
0020-5923	int arch arbeitsmed
0020-6539	int dent j
0020-7047	int j philos relig
0020-7055	int j radiat phys chem
0020-708X	int j appl radiat isot
0020-7101	int j bio med comput
0020-711X	int j biochem
0020-7128	int j biometeorol
0020-7152	int j comp sociol
0020-7225	int j eng sci
0020-7268	int j fract mech
0020-7292	int j gynaecol obstet
0020-7322	int j insect morphol embryol
0020-7357	int j mach tool des res
0020-7373	int j man mach stud
0020-7381	int j mass spectrom ion phys
0020-7403	int j mech sci
0020-7462	int j non linear mech
0020-7489	int j nurs studies
0020-7519	int j parasitol
0020-7551	int j protein res
0020-7578	int j psycho anal
0020-7594	int j psychol
0020-7608	int j quant chem
0020-7683	int j solids struct
0020-7748	int j theor phys
0020-7837	int libr rev
0020-8132	int nurs rev
0020-8566	int rev educ
0020-9309	int rev gesamten hydrobiol
0020-9376	int z angew physiol einschl arbeitsphysiol
0020-9910	invent math
0021-1265	ir j med sci
0021-1818	islam
0021-2148	isr j chem
0021-2172	isr j math
0021-5090	gyoruigaku zasshi
0021-5139	jpn j microbiol
0021-5155	jpn j ophthalmol
0021-5368	jpn psychol res
0021-7670	j anal math
0021-7824	j math pures appl
0021-8294	j sci study relig
0021-8308	j theory soc behav
0021-8383	j prakt chem
0021-8502	j aerosol sci
0021-8529	j aesthet art crit
0021-857X	j agr econ
0021-8634	j agric eng res
0021-8693	j algebra
0021-8707	j allergy
0021-8723	j am hist
0021-8774	j anal psychol
0021-8855	j appl behav anal
0021-8871	j appl cheri
0021-891X	j appl electrochem
0021-8928	j appl math mech
0021-8944	j appl mech tech phys
0021-8995	j appl polym sci
0021-9029	j appl soc psychol
0021-9037	j appl spectrosc
0021-9045	j approx theory
0021-9096	j asian afr stud
0021-9150	atherosclerosis
0021-9169	j atmos terr phys
0021-9185	j autism child schizophrenia
0021-924X	j biochem
0021-9290	j biomech
0021-9304	j biomed mater res
0021-9517	j catal
0021-9541	j cell physiol
0021-9614	j chem thermodyn
0021-9630	j child psychol psychiatry allied discipl
0021-9665	j chromatogr sci
0021-9673	j chromatogr
0021-9681	j chronic dis
0021-969X	j church state
0021-9746	j clin pathol
0021-9754	j clin pharmacol new drug
0021-9762	j clin psychol
0021-9797	j colloid interface sci
0021-9916	j commun
0021-9924	j commun disord
0021-9967	j comp neurol
0021-9975	j comp pathol
0021-9991	j comput phys
0022-0000	j comput syst sci
0022-0116	j contemp psychother
0022-0175	j creat behav
0022-0248	j cryst growth
0022-0302	j dairy sci
0022-0396	j differ equ
0022-0531	j econ theory
0022-0655	j educ meas
0022-0728	j electroanal chem interfacial electrochem
0022-0736	j electrocardiol
0022-0744	j electron microsc
0022-0833	j eng math
0022-0841	j eng phys
0022-0957	j exp bot
0022-0965	j exp child psychol
0022-0981	j exp mar biol ecol
0022-1031	j exp soc psychol
0022-104X	j exp zool
0022-1082	j financ
0022-1112	j fish biol
0022-1139	j fluorine chem
0022-1147	j food sci
0022-1198	j forensic sci
0022-1236	j funct anal
0022-1333	j genet
0022-1503	j hered
0022-152X	j heterocycl chem
0022-1694	j hydrol
0022-1759	j immunol methods
0022-1791	j indian philos
0022-1899	j infect dis
0022-1902	j inorg nucl chem
0022-1910	j insect physiol
0022-1996	j int econ
0022-2011	j invertebr pathol
0022-2135	j label compd
0022-2143	j lab clin med
0022-2291	j low temp phys
0022-2313	j lumin
0022-2364	j magn reson
0022-2380	j manage stud
0022-2445	j marriage fam
0022-2461	j mater sci
0022-247X	j math anal appl
0022-2496	j math psychol
0022-2526	stud appl math
0022-2569	j mech
0022-2593	j med genet
0022-2631	j membr biol
0022-2828	j mol cell cardiol
0022-2836	j mol biol
0022-2844	j mol evol
0022-2852	j mol spectrosc
0022-2860	j mol struct
0022-3026	j neuro visc relat
0022-3050	j neurol neurosurg psychiatry
0022-3093	j non cryst solids
0022-3107	j nucl energy
0022-3115	j nucl mater
0022-314X	j number theory
0022-3182	j nutr educ
0022-3239	j optim theory appl
0022-328X	j organomet chem
0022-3417	j pathol
0022-3468	j pediatr surg
0022-3476	j pediatr
0022-3484	j periodontal res
0022-3506	j pers
0022-3530	j petrol
0022-3549	j pharm sci
0022-3573	j pharm pharmacol
0022-3611	j philos logic
0022-3646	j phycol
0022-3697	j phys chem solids
0022-3832	j polym sci
0022-3840	j pop cult
0022-3913	j prosthet dent
0022-3921	j protozool
0022-3956	j psychiatr res
0022-3999	j psychosom res
0022-4006	j public health dent
0022-4049	j pure appl algebra
0022-4073	j quant spectrosc radiat transfer
0022-4146	j reg sci
0022-4200	j relig afr
0022-4227	j relig hist
0022-4308	j res sci teach
0022-4359	j retail
0022-4375	j safety res
0022-4391	j sch health
0022-4405	j sch psychol
0022-4480	j semit stud
0022-4510	j small anim pract
0022-4529	j soc hist
0022-4537	j soc issues
0022-4588	j soil sci
0022-4596	j solid state chem
0022-460X	j sound vib
0022-4715	j stat phys
0022-4731	j steroid biochem
0022-474X	j stored prod res
0022-4766	j struct chem
0022-4790	j surg oncol
0022-4804	j surg res
0022-4898	j terramech
0022-4901	j texture stud
0022-4995	j econ soc hist orient
0022-5002	j exp anal behav
0022-5010	j hist biol
0022-5045	j hist med allied sci
0022-5061	j hist behav sci
0022-5088	j less common met
0022-5096	j mech phys solids
0022-510X	j neurol sci
0022-5142	j sci food agric
0022-5185	j theol stud
0022-5193	j theor biol
0022-5215	j therm anal
0022-5223	j thorac cardiovasc surg
0022-5320	j ultrastruct res
0022-5347	j urol
0022-5363	j value inq
0022-5371	j verbal learn verbal behav
0022-541X	j wildl manage
0022-6920	jurist rundsch
0022-7498	kadmos
0022-8877	kant stud
0023-2173	klin wochenschr
0023-2904	kolloid z z polym
0023-4753	kryst tech
0023-5172	kult spolecz
0023-5946	kybernetik
0023-6438	lebensm wiss technol
0023-8236	langenbecks arch chir
0023-8333	lang learn
0023-852X	laryngoscope
0023-9216	law soc rev
0023-9690	learn motiv
0024-1164	lethaia
0024-2160	library
0024-2667	libri
0024-2829	lichenologist
0024-3205	life sci
0024-3795	linear algebra appl
0024-3841	lingua
0024-3949	linguistics
0024-4066	biol j linn soc
0024-4074	bot j linn soc
0024-4082	zool j linn soc
0024-4201	lipids
0024-4937	lithos
0024-6093	bull lond math soc
0024-6107	j lond math soc
0024-6115	proc lond math soc
0025-116X	makromol chem
0025-1461	mammalia
0025-1534	man world
0025-2328	mankind
0025-2611	manuscr math
0025-3162	mar biol
0025-3227	mar geol
0025-3235	mar geophys res
0025-326X	mar pollut bull
0025-5408	mater res bull
0025-5416	mater sci eng
0025-5432	matér constr
0025-5564	math biosci
0025-5610	math program
0025-5661	math syst theory
0025-5831	math ann
0025-584X	math nachr
0025-5858	abh math semin univ hamb
0025-5874	math z
0025-6196	mayo clin proc
0025-6455	meccanica
0025-696x	med biol eng
0025-696X	med biol eng
0025-7125	med clin north am
0025-7753	med clin
0026-0495	metab clin exp
0026-0576	met finish
0026-0657	met powder rep
0026-0673	met sci heat treat
0026-0800	metallography
0026-0894	metallurgist
0026-1068	metaphilosophy
0026-1114	meteoritics
0026-1335	metrika
0026-1386	metroeconomica
0026-265X	microchem j
0026-2692	microelectronics
0026-2714	microelectron reliab
0026-2862	microvascular res
0026-3672	mikrochim acta
0026-4326	milton q
0026-4423	mind
0026-4598	miner depos
0026-4695	minerva
0026-7074	mnemosyne
0026-7902	mod lang j
0026-7961	mod law rev
0026-8925	mgg mol gen genet
0026-9247	monatsh chem
0026-9255	mon hefte math
0027-0903	moon
0027-4224	music lett
0027-4631	mus q
0027-4909	muslim world
0027-5107	mutat res
0027-5530	mycopathol mycol appl
0027-738X	nachr chem tech
0027-769X	nahrung
0027-8874	j natl cancer inst
0028-0836	nature
0028-1042	naturwissenschaften
0028-1298	naunyn schmiedeberg s arch pharmacol
0028-1441	nav res log q
0028-2030	ned arch kerkgeschied
0028-2243	eur j obstet gynecol
0028-2596	nematologica
0028-2677	neophilologus
0028-2944	neth j plant pathol
0028-2960	neth j zool
0028-3045	networks
0028-3517	neue z syst theol relig philos
0028-3908	neuropharmacology
0028-3932	neuropsychologia
0028-3940	neuroradiology
0028-8144	n z geogr
0028-8292	n z j geogr
0029-1021	non destr test
0029-3970	notes queries
0029-4624	noûs
0029-5493	nucl eng des
0029-554X	nucl instrum methods
0029-5582	nucl phys
0029-5973	numen
0029-5981	int j numer methods eng
0029-599X	numer math
0029-6473	nurs forum
0029-6554	nurs outl
0029-6643	nutr rev
0029-7844	obstet gynecol
0029-8018	ocean eng
0029-8077	oceania
0029-8131	nippon kaiyo gakkai shi
0029-8549	oecologia
0029-8948	oesterr bot z
0030-1299	oikos
0030-3992	opt laser technol
0030-4018	opt commun
0030-4026	optik
0030-4077	opto electronics
0030-4220	oral surg oral med oral pathol
0030-4921	org magn reson
0030-493X	org mass spectrom
0030-5073	organ behav hum perform
0030-5472	oriente mod
0030-5898	orthop clin north am
0030-6665	otolaryngol clin north am
0030-672x	oud holland
0030-672X	oud holland
0030-7653	oxf econ pap
0030-770X	oxid met
0031-0182	palaeogeogr palaeoclimatol palaeoecol
0031-0220	paläontol z
0031-2746	past present
0031-2789	pastor psychol
0031-3203	pattern recogn
0031-3955	pediatr clin n am
0031-4056	pedobiologia
0031-5303	period math hung
0031-5737	person guid j
0031-5826	pers psychol
0031-5990	perspect psychiatr care
0031-613X	pestic sci
0031-6458	pet chem u s s r
0031-6768	pflügers arch
0031-6865	pharm acta helv
0031-6970	eur j clin pharmacol
0031-6989	pharmacol res commun
0031-806X	philos forum
0031-8094	philos q
0031-8116	philos stud
0031-8655	photochem photobiol
0031-8663	photogrammetria
0031-868X	photogramm rec
0031-8868	phronesis
0031-8914	physica
0031-8965	phys status solidi a appl res
0031-9163	phys lett
0031-9201	phys earth planet inter
0031-9252	phys unserer zeit
0031-9279	phys bl
0031-9317	physiol plant
0031-9384	physiol behav
0031-9406	physiotherapy
0031-9422	phytochemistry
0032-0633	planet space sci
0032-0781	plant cell physiol
0032-079X	plant soil
0032-0935	planta
0032-2687	policy sci
0032-3179	polit q
0032-3195	polit sci q
0032-3217	polit stud
0032-373X	pol prz chir
0032-3780	pol pis entomol
0032-3861	polymer
0032-3888	polym eng sci
0032-390X	polym mech
0032-3950	polym sci ussr
0032-5473	postgrad med j
0032-5910	powder technol
0032-6585	prague bull math linguist
0032-8332	primates
0033-0620	prog cardiovasc dis
0033-183X	protoplasma
0033-2720	psychiatr q
0033-2828	psychoanal q
0033-3026	psychol forsch
0033-3085	psychol sch
0033-3123	psychometrika
0033-3158	psychopharmacologia
0033-3182	psychosomatics
0033-3298	public adm
0033-3352	par public adm rev
0033-3506	public health
0033-362X	public opin q
0033-4073	pneumonologie
0033-4553	pure appl geophys
0033-5177	qual quant
0033-5533	q j econ
0033-5606	q j math
0033-5614	q j mech appl math
0033-5894	quat res
0033-7560	radiat bot
0033-8338	radiología
0033-8389	radiol clin north am
0033-8443	radiophys quantum electron
0034-0006	ratio
0034-0553	read res q
0034-3102	refractories
0034-3617	reinf plast
0034-4257	remote sens environ
0034-4877	rep math phys
0034-5288	res vet sci
0034-5466	res popul ecol
0034-5687	respir physiol
0034-5806	restaurator
0034-6527	rev econ stud
0034-6551	rev engl stud
0034-6667	rev palaeobot palynol
0035-1598	rev micropaléontol
0035-2845	rev fr allergol
0035-2977	rev fr transfus
0035-3159	rev gén therm
0035-3183	rev gén chemins fer
0035-4511	rheol acta
0035-5429	ring
0035-7448	rock mech
0035-8711	mon not r astron soc
0035-8894	trans r entomol soc lond
0035-9203	trans r soc trop med hyg
0035-9254	appl stat
0036-0112	rural sociol
0036-553X	scand j haematol
0036-5564	scand j psychol
0036-6803	sch sci math
0036-6978	ntm
0036-7842	schweiz z hydrol
0036-8326	sci educ
0036-8423	sci news
0036-9748	scr metall
0037-0738	sediment geol
0037-0746	sedimentology
0037-1912	semigr forum
0037-1963	semin hematol
0037-198X	semin roentgenol
0037-1998	semiotica
0037-4466	sib math j
0037-7732	soc forces
0037-7813	soc psychiatry
0037-7856	soc sci med
0037-8046	soc work
0037-9646	bull soc chim belg
0037-976X	monogr soc res child dev
0037-9859	j soc dyers colour
0038-0121	socio econ plann sci
0038-0199	sociol rural
0038-0245	sociol inq
0038-0253	sociol q
0038-0261	sociol rev
0038-0296	sociol trav
0038-0644	softw pract exp
0038-0717	soil biol biochem
0038-0741	soil mech found eng
0038-092X	sol energy
0038-0938	sol phys
0038-1098	solid state commun
0038-1101	solid state electron
0038-1527	sophia
0038-4283	south j philos
0038-4941	soc sci q
0038-5298	sov appl mech
0038-531x	sov at energy
0038-531X	sov at energy
0038-5565	sov mater sci
0038-5581	sov min sci
0038-5697	sov phys j
0038-5735	sov powder metall met ceram
0038-6286	space life sci
0038-6308	space sci rev
0038-9056	stärke
0038-9145	stahlbau
0039-0402	stat neerl
0039-0526	statistician
0039-128X	steroids
0039-2103	strain
0039-2316	strength mater
0039-3169	stud geophys geod
0039-3193	stud linguist
0039-3215	stud log
0039-3665	stud fam plann
0039-3681	stud hist philos sci
0039-6028	surf sci
0039-6060	surgery
0039-6109	surg clin north am
0039-6257	surv ophthalmol
0039-7857	synthese
0039-7989	syst zool
0039-9140	talanta
0040-1625	technol forecast soc change
0040-1951	tectonophysics
0040-3709	teratology
0040-4020	tetrahedron
0040-4039	tetrahedron lett
0040-5744	theor chim acta
0040-5752	theor appl genet
0040-5760	theor exp chem
0040-5779	theor math phys
0040-5809	theor popul biol
0040-5825	theoria
0040-5833	theory decis
0040-6031	thermochim acta
0040-6090	thin solid films
0040-6376	thorax
0040-747X	tijdschr econ soc geogr
0040-7496	tijdschr entomol
0040-8166	tissue cell
0040-9383	topology
0041-008X	toxicol appl pharmacol
0041-0101	toxicon
0041-0241	trab estad invest oper
0041-1132	transfusion
0041-1345	transplant proc
0041-1647	transp res
0041-3291	trop sci
0041-3879	tubercle
0041-5553	ussr comput math math phys
0041-5995	ukr math j
0041-624X	ultrasonics
0042-0573	unternehmensforschung
0042-207X	vacuum
0042-3106	vegetatio
0042-4870	bull vet inst pulawy
0042-4935	vetus testam
0042-6032	vigiliae christ
0042-6822	virology
0042-6989	vis res
0042-7543	vivarium
0042-790X	vodohospod cas
0042-9007	vox sang
0042-9929	wärme stoffübertrag
0043-1354	water res
0043-1397	water resour res
0043-1648	wear
0043-1737	weed res
0043-5546	wilhelm roux arch entwicklungsmech org
0043-7719	wood sci technol
0044-0124	yale rev
0044-2208	z allg mikrobiol
0044-2240	z angew entomol
0044-2267	z angew math mech
0044-2275	z angew math phys
0044-2313	z anorg allg chem
0044-2402	z chem
0044-2526	z alttest wiss
0044-2534	z gesamte exp med einschl exp chir
0044-2615	z neutest wiss kunde älteren kirche
0044-264X	z ernährungswiss
0044-2887	z jagdwiss
0044-3026	z lebensm unters forsch
0044-3077	z med mikrobiol immunol
0044-3131	z morphol tiere
0044-3255	z parasitenkd
0044-3263	z pflanzenernähr bodenkd
0044-328X	z pflanzenphysiol
0044-3328	z phys
0044-3433	z rechtsmed
0044-3441	z relig geistesgesch
0044-3565	z tierphysiol tierernähr futtermittelkd
0044-3573	z tierpsychol
0044-3581	z tierz züchtungsbiol
0044-3719	z wahrscheinlichkeitstheor verw geb
0044-4057	zent bl bakteriol parasitenkd infekt krankh hyg 2 nat wiss abt allg landwirtsch tech mikrobiol
0044-4294	zentralbl veterinärmed
0044-510X	zool pol
0044-5231	zool anz
0044-5983	acta bot neerl
0044-7870	proc asis annu meet
0044-8249	angew chem
0044-8486	aquaculture
0045-205X	biol unserer zeit
0045-2068	bioorg chem
0045-6039	cell differ
0045-6535	chemosphere
0045-6632	child care q
0045-7825	comput methods appl mech eng
0045-7906	comput electr eng
0045-7930	comput fluids
0045-7949	comput struct
0045-8732	cospar inf bull
0045-9380	curr probl pediatr
0046-2772	eur j soc psychol
0046-5070	freshw biol
0046-5755	geom dedic
0046-5763	geophys surv
0046-8177	human pathol
0046-9750	j inst brew
0047-0740	int j nucl med biol
0047-1909	jpn j surg
0047-2212	j study jud persian hell roman period
